Controller,Score,Mutations
0,500,81
1,500,4
2,500,12
3,500,5
4,500,1
5,500,14
6,500,4
7,500,20
8,500,2
9,500,5
10,500,1
11,500,3
12,500,4
13,500,6
14,500,3
15,500,18
16,500,3
17,500,12
18,500,1
19,500,11
20,500,15
21,500,9
22,500,5
23,500,0
24,500,6
25,500,6
26,500,5
27,500,8
28,500,20
29,500,8
30,500,13
31,500,3
32,500,5
33,500,7
34,500,18
35,500,8
36,500,6
37,500,10
38,500,4
39,500,3
40,500,11
41,500,5
42,500,16
43,500,6
44,500,3
45,500,4
46,500,4
47,500,4
48,500,5
49,500,4
50,500,7
51,500,5
52,500,12
53,500,12
54,500,15
55,500,29
56,500,30
57,500,24
58,500,25
59,500,41
60,500,34
61,500,32
62,500,26
63,500,33
64,500,34
65,500,35
66,500,31
67,500,33
68,500,37
69,500,34
70,500,38
71,500,36
72,500,31
73,500,45
74,500,32
75,500,35
76,500,38
77,500,43
78,500,40
79,500,41
80,500,45
81,500,43
82,500,35
83,500,42
84,500,34
85,500,36
86,500,32
87,500,37
88,500,41
89,500,35
90,500,37
91,500,31
92,500,37
93,500,40
94,500,41
95,500,29
96,500,36
97,500,32
98,500,33
99,500,40
